sale_price,sale_prob,sale_show_prob,sale_min_prob,sale_mod_prob,sale_full_prob,repair_show_cost,repair_min_cost,repair_mod_cost,repair_full_cost,exp_repair_cost,fixed_fees,variable_fees,commission,exp_net
750000.00,0.00,0.85,0.14,0.01,0.00,12750.00,4900.00,800.00,0.00,18450.00,2421.00,8250.00,37500.00,683380.00
755000.00,0.00,0.85,0.14,0.01,0.00,12750.00,4900.00,800.00,0.00,18450.00,2421.00,8305.00,37750.00,688075.00
760000.00,0.01,0.85,0.13,0.02,0.00,12750.00,4550.00,1600.00,0.00,18900.00,2421.00,8360.00,38000.00,692320.00
765000.00,0.01,0.85,0.13,0.02,0.00,12750.00,4550.00,1600.00,0.00,18900.00,2421.00,8415.00,38250.00,697015.00
770000.00,0.01,0.85,0.12,0.03,0.00,12750.00,4200.00,2400.00,0.00,19350.00,2421.00,8470.00,38500.00,701260.00
775000.00,0.01,0.85,0.12,0.03,0.00,12750.00,4200.00,2400.00,0.00,19350.00,2421.00,8525.00,38750.00,705955.00
780000.00,0.02,0.80,0.15,0.05,0.00,12000.00,5250.00,4000.00,0.00,21250.00,2421.00,8580.00,39000.00,708750.00
785000.00,0.02,0.80,0.15,0.05,0.00,12000.00,5250.00,4000.00,0.00,21250.00,2421.00,8635.00,39250.00,713445.00
790000.00,0.02,0.80,0.15,0.05,0.00,12000.00,5250.00,4000.00,0.00,21250.00,2421.00,8690.00,39500.00,718140.00
795000.00,0.02,0.75,0.20,0.05,0.00,11250.00,7000.00,4000.00,0.00,22250.00,2421.00,8745.00,39750.00,721835.00
800000.00,0.03,0.60,0.30,0.09,0.01,9000.00,10500.00,7200.00,1750.00,28450.00,2421.00,8800.00,40000.00,720330.00
805000.00,0.03,0.50,0.40,0.09,0.01,7500.00,14000.00,7200.00,1750.00,30450.00,2421.00,8855.00,40250.00,723025.00
810000.00,0.03,0.40,0.45,0.14,0.01,6000.00,15750.00,11200.00,1750.00,34700.00,2421.00,8910.00,40500.00,723470.00
815000.00,0.03,0.40,0.45,0.14,0.01,6000.00,15750.00,11200.00,1750.00,34700.00,2421.00,8965.00,40750.00,728165.00
820000.00,0.03,0.35,0.50,0.14,0.01,5250.00,17500.00,11200.00,1750.00,35700.00,2421.00,9020.00,41000.00,731860.00
825000.00,0.03,0.30,0.50,0.15,0.05,4500.00,17500.00,12000.00,8750.00,42750.00,2421.00,9075.00,41250.00,729505.00
830000.00,0.03,0.20,0.50,0.25,0.05,3000.00,17500.00,20000.00,8750.00,49250.00,2421.00,9130.00,41500.00,727700.00
835000.00,0.03,0.20,0.55,0.20,0.05,3000.00,19250.00,16000.00,8750.00,47000.00,2421.00,9185.00,41750.00,734645.00
840000.00,0.03,0.20,0.60,0.10,0.10,3000.00,21000.00,8000.00,17500.00,49500.00,2421.00,9240.00,42000.00,736840.00
